iter	Passed	Remaining
470	685	769
471	686	767
472	687	765
473	688	764
474	689	761
475	690	759
476	691	757
477	692	755
478	693	753
479	694	751
480	695	750
481	697	749
482	698	747
483	699	745
484	700	743
485	701	741
486	701	739
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	707	727
493	709	726
494	711	725
495	712	723
496	712	721
497	713	719
498	715	718
499	716	716
500	717	714
501	717	712
502	718	710
503	719	708
504	720	706
505	721	704
506	722	702
507	723	701
508	726	700
509	727	698
510	728	697
511	729	695
512	730	693
513	731	691
514	732	689
515	732	687
516	733	685
517	734	683
518	735	681
519	736	679
520	737	677
521	738	676
522	740	675
523	741	673
524	741	671
525	742	669
526	743	667
527	744	665
528	745	663
529	746	662
530	747	660
531	748	658
532	749	656
533	750	654
534	751	652
535	752	651
536	752	649
537	754	647
538	755	646
539	756	644
540	757	642
541	758	640
542	759	638
543	760	637
544	761	635
545	762	634
546	763	632
547	764	630
548	765	628
549	766	626
550	766	624
551	768	623
552	769	622
553	770	620
554	771	618
555	772	616
556	773	615
557	774	613
558	775	611
559	776	610
560	777	608
561	778	606
562	779	605
563	780	603
564	781	601
565	782	599
566	783	598
567	784	596
568	785	595
569	787	594
570	788	592
571	789	590
572	790	588
573	791	587
574	792	585
575	793	584
576	794	582
577	795	580
578	795	578
579	797	577
580	798	576
581	799	574
582	800	572
583	801	571
584	802	569
585	803	567
586	804	565
587	805	564
588	806	562
589	807	560
590	807	559
591	808	557
592	809	555
593	810	553
594	811	552
595	816	553
596	817	551
597	818	550
598	819	548
599	820	546
600	821	545
601	822	543
602	823	541
603	823	540
604	824	538
605	825	536
606	826	535
607	828	533
608	829	532
609	830	530
610	830	529
611	831	527
612	832	525
613	833	524
614	834	522
615	835	520
616	836	518
617	836	517
618	837	515
619	838	513
620	839	512
621	840	510
622	841	509
623	842	507
624	843	506
625	845	504
626	846	503
627	846	501
628	847	500
629	848	498
630	849	496
631	850	495
632	851	493
633	852	492
634	853	490
635	854	488
636	854	487
637	856	485
638	857	484
639	858	482
640	859	481
641	860	479
642	861	478
643	862	476
644	863	475
645	863	473
646	864	471
647	865	470
648	866	468
649	867	467
650	868	465
651	869	464
652	870	462
653	872	461
654	873	459
655	874	458
656	874	456
657	875	455
658	876	453
659	877	452
660	878	450
661	879	448
662	880	447
663	881	445
664	882	444
665	883	442
666	884	441
667	886	440
668	887	439
669	888	437
670	889	435
671	890	434
672	890	432
673	891	431
674	892	429
675	893	428
676	894	426
677	895	425
678	896	423
679	897	422
680	898	420
681	899	419
682	900	418
683	901	416
684	903	415
685	904	414
686	905	412
687	906	411
688	907	409
689	908	408
690	909	406
691	910	405
692	911	403
693	912	402
694	913	400
695	914	399
696	915	397
697	917	396
698	918	395
699	919	393
700	920	392
701	921	391
702	922	389
703	923	388
704	924	386
705	925	385
706	926	384
707	927	382
708	928	381
709	931	380
710	932	379
711	933	377
712	934	376
713	935	374
714	936	373
715	937	371
716	938	370
717	939	368
718	940	367
719	940	365
720	941	364
721	943	363
722	944	361
723	945	360
724	947	359
725	948	357
726	949	356
727	950	355
728	951	353
729	952	352
730	953	350
731	954	349
732	954	347
733	956	346
734	957	345
735	958	343
736	960	342
737	961	341
738	962	339
739	963	338
740	964	337
741	965	335
742	966	334
743	967	332
744	968	331
745	969	330
746	970	328
747	971	327
748	972	325
749	974	324
750	975	323
751	976	322
752	977	320
753	978	319
754	979	317
755	980	316
756	981	315
757	982	313
758	983	312
759	984	310
760	985	309
761	986	308
762	987	306
763	989	305
764	991	304
765	992	303
766	993	301
767	994	300
768	995	299
769	996	297
770	997	296
771	998	295
772	1000	293
773	1001	292
774	1002	290
775	1002	289
776	1005	288
777	1006	287
778	1007	285
779	1008	284
780	1009	283
781	1010	281
782	1012	280
783	1012	279
784	1013	277
785	1014	276
786	1015	274
787	1016	273
788	1017	272
789	1019	271
790	1020	269
791	1021	268
792	1022	266
793	1023	265
794	1024	264
795	1025	262
796	1026	261
797	1027	260
798	1028	258
799	1029	257
800	1030	256
801	1031	254
802	1032	253
803	1034	252
804	1036	250
805	1037	249
806	1038	248
807	1039	246
808	1040	245
809	1041	244
810	1042	242
811	1043	241
812	1044	240
813	1045	238
814	1046	237
815	1047	236
816	1049	234
817	1050	233
818	1051	232
819	1052	231
820	1053	229
821	1054	228
822	1055	227
823	1056	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1063	219
829	1065	218
830	1067	217
831	1068	215
832	1069	214
833	1070	213
834	1071	211
835	1072	210
836	1073	209
837	1075	207
838	1076	206
839	1077	205
840	1081	204
841	1082	203
842	1083	201
843	1085	200
844	1086	199
845	1087	197
846	1088	196
847	1089	195
848	1090	193
849	1091	192
850	1093	191
851	1095	190
852	1096	189
853	1098	187
854	1099	186
855	1100	185
856	1101	183
857	1102	182
858	1103	181
859	1104	179
860	1105	178
861	1106	177
862	1109	176
863	1110	174
864	1111	173
865	1112	172
866	1113	170
867	1115	169
868	1116	168
869	1117	167
870	1118	165
871	1119	164
872	1120	163
873	1121	161
874	1123	160
875	1125	159
876	1126	157
877	1127	156
878	1128	155
879	1129	154
880	1130	152
881	1132	151
882	1133	150
883	1134	148
884	1135	147
885	1136	146
886	1138	144
887	1139	143
888	1140	142
889	1141	141
890	1142	139
891	1143	138
892	1144	137
893	1145	135
894	1146	134
895	1147	133
896	1148	131
897	1149	130
898	1150	129
899	1151	127
900	1154	126
901	1155	125
902	1156	124
903	1157	122
904	1158	121
905	1159	120
906	1160	118
907	1161	117
908	1162	116
909	1163	115
910	1164	113
911	1165	112
912	1166	111
913	1179	111
914	1181	109
915	1182	108
916	1183	107
917	1185	105
918	1187	104
919	1188	103
920	1190	102
921	1191	100
922	1192	99
923	1193	98
924	1195	96
925	1196	95
926	1197	94
927	1198	93
928	1200	91
929	1201	90
930	1202	89
931	1203	87
932	1204	86
933	1205	85
934	1207	83
935	1208	82
936	1209	81
937	1210	80
938	1211	78
939	1213	77
940	1215	76
941	1216	74
942	1217	73
943	1218	72
944	1219	70
945	1220	69
946	1221	68
947	1222	67
948	1223	65
949	1224	64
950	1225	63
951	1227	61
952	1228	60
953	1229	59
954	1230	57
955	1231	56
956	1233	55
957	1234	54
958	1235	52
959	1236	51
960	1237	50
961	1238	48
962	1239	47
963	1240	46
964	1241	45
965	1243	43
966	1244	42
967	1246	41
968	1247	39
969	1248	38
970	1249	37
971	1250	36
972	1251	34
973	1252	33
974	1253	32
975	1254	30
976	1255	29
977	1256	28
978	1257	26
979	1260	25
980	1261	24
981	1262	23
982	1263	21
983	1264	20
984	1265	19
985	1266	17
986	1267	16
987	1268	15
988	1269	14
989	1270	12
990	1271	11
991	1273	10
992	1274	8
993	1275	7
994	1277	6
995	1278	5
996	1279	3
997	1280	2
998	1281	1
999	1282	0
